time_period,country_code,count
T01,N01,17086
T01,N02,9501
T01,N03,1799
T01,N04,3240
T01,N05,238
T01,N06,1968
T01,N07,722
T01,N08,274
T01,N09,595
T01,N10,1987
T02,N01,4981
T02,N02,2813
T02,N03,556
T02,N04,2201
T02,N05,211
T02,N06,447
T02,N07,122
T02,N08,86
T02,N09,200
T02,N10,492
T03,N01,2488
T03,N02,2716
T03,N03,373
T03,N04,4117
T03,N05,355
T03,N06,338
T03,N07,70
T03,N08,109
T03,N09,122
T03,N10,267
T04,N01,8359
T04,N02,13030
T04,N03,888
T04,N04,9110
T04,N05,678
T04,N06,1209
T04,N07,765
T04,N08,699
T04,N09,584
T04,N10,1772
T05,N01,47174
T05,N02,54594
T05,N03,3894
T05,N04,11507
T05,N05,889
T05,N06,4558
T05,N07,2525
T05,N08,1745
T05,N09,1795
T05,N10,7450
T06,N01,114831
T06,N02,73469
T06,N03,10256
T06,N04,9639
T06,N05,681
T06,N06,9131
T06,N07,4961
T06,N08,2214
T06,N09,4702
T06,N10,13868
T07,N01,116071
T07,N02,79889
T07,N03,9047
T07,N04,7459
T07,N05,523
T07,N06,10612
T07,N07,4962
T07,N08,2391
T07,N09,5668
T07,N10,14112
T08,N01,117219
T08,N02,85292
T08,N03,9220
T08,N04,5852
T08,N05,434
T08,N06,10789
T08,N07,5015
T08,N08,2197
T08,N09,4843
T08,N10,14745
T09,N01,123751
T09,N02,90796
T09,N03,11185
T09,N04,6613
T09,N05,589
T09,N06,12439
T09,N07,5204
T09,N08,2574
T09,N09,5212
T09,N10,17967
T10,N01,108434
T10,N02,69029
T10,N03,9646
T10,N04,6245
T10,N05,469
T10,N06,11922
T10,N07,4059
T10,N08,2745
T10,N09,4170
T10,N10,14689
T11,N01,86962
T11,N02,44643
T11,N03,7641
T11,N04,5364
T11,N05,371
T11,N06,7345
T11,N07,3488
T11,N08,1539
T11,N09,2746
T11,N10,9503
T12,N01,53581
T12,N02,29618
T12,N03,5952
T12,N04,5540
T12,N05,327
T12,N06,5978
T12,N07,2629
T12,N08,754
T12,N09,1968
T12,N10,7140
